Product Name;Variations;Rating;Username;Date;Review
None;Variasi: BLACK,64GB;5;suntoko47;2024-10-10;None
None;Variasi: PURPLE,64GB;5;mohammadiskandar809;2024-10-09;None
Kondisi Barang: bagusWarna: whitePermukaan: mulusOrder pertama x tp dapat yg ok, next order lagi. Terima kasih;Variasi: WHITE,128GB;5;beauty.storeku;2024-10-09;None
None;Variasi: GRAY,256 GB;5;alisyaarie;2024-10-09;None
Kondisi Barang: bagusWarna: bagusPermukaan: bagus;Variasi: BLACK,64GB;5;nasirudin4;2024-10-09;None
None;Variasi: BLACK,64GB;5;ranrafi30;2024-10-08;None
None;Variasi: 20W;5;c*****8;2024-10-08;None
None;Variasi: 20W;5;yunuskrn11;2024-10-08;None
None;Variasi: BLACK,128GB;5;yunuskrn11;2024-10-08;None
None;Variasi: GREEN,64GB;5;evaniyuliasafitri;2024-10-07;None
None;Variasi: PURPLE,128GB SIM STIKER;5;s*****p;2024-10-07;None
None;Variasi: PURPLE,64GB;4;fgglow123;2024-10-07;None
None;Variasi: WHITE,64GB;5;epityufita_03;2024-10-07;None
Kondisi Barang: mulusWarna: sesuaiPermukaan: mulusTerpercaya amanah 🥰;Variasi: BLACK,128GB;5;a*****y;2024-10-07;None
Kita tunggu dulu sampe seminggu baru aku kasih ranting,untuk spesifikasi worithhh Bngt”😍;Variasi: BLACK,64GB;4;elbaniaelbania;2024-10-07;None
Hp bagus kondisi normal hanya saja salah pengiriman warna , aga kecewa tapi males retur karna bakal nunggu lagi 😄lain kali lebih teliti lagi min karna dari awal saya udah chat juga 🙏🏻;Variasi: WHITE,64GB;4;andanimary12;2024-10-07;None
Saya tidak tahu apakah itu adalah hal biasa dan saya juga juga pernah merasakan itu di di sini sini dan dan juga di;Variasi: SILVER,256 GB;5;shintafajri15;2024-10-07;None
None;Variasi: GREEN,128GB;5;ritafajriyah;2024-10-07;None
None;Variasi: BLACK,64GB;1;luthfinaim;2024-10-07;None
None;Variasi: BLUE,128GB;5;arka_prtama123;2024-10-07;None
None;Variasi: BLUE,128GB;5;sacii25;2024-10-06;None
None;Variasi: BLUE,128GB;5;benuprocetex;2024-10-06;None
None;Variasi: GREEN,64GB;5;cholbiimamgumilar;2024-10-06;None
Kondisi Barang: like newWarna: sesuai pesananPermukaan: mulusGood item;Variasi: GREEN,128GB;5;arielsebastian90;2024-10-06;None
None;Variasi: PURPLE,64GB;5;andriansyah_0123;2024-10-06;None
None;Variasi: BLACK,64GB;5;lisnawati5676;2024-10-06;None
None;Variasi: PURPLE,64GB;5;holipahadniazah;2024-10-05;None
None;Variasi: BLACK,64GB;5;evam_66;2024-10-05;None
None;Variasi: BLACK,64GB;5;harimanst;2024-10-05;None
"Kondisi Barang: aku blm buka paketnyaWarna: purpleKinerja: okAku blm buka paketnya , masih di luar kota, tapi pengiriman cpt bgt , tq seller 
Nanti aku kirim ulang penilaian pas unboxing video ya";Variasi: PURPLE,64GB;5;rima1981;2024-10-05;None
None;Variasi: WHITE,64GB;5;sabilla2013;2024-10-05;None
"Kondisi Barang: mulusssWarna: sesuai pesananPelayanannya baik, min nya ramah
Minta yg bh di atas 90 an di krim yg 100
Goodd";Variasi: PURPLE,64GB;5;ksd4ecdakj;2024-10-05;None
Bagus barang nya cuman pengirimannya aja aga lama , kalo bisa tingkatin lg ya min;Variasi: PURPLE,128GB;5;mohammadiskandar809;2024-10-04;None
Kinerja: baikKondisi Barang: amanPermukaan: mulusTerimakasih kak, hp yg di retur udah nyampe dan semuanya berfungsi dengan baik,, walau kemarin smpat  ada sdikit drama tpi pas hpnya dtg smua terbayarkan,, makasih kk adminnya dan maaf juga udah bnyak bnyak tnya ampe kknya bosan🤭😅  dan semoga sinyalnya gak ilang2 🥰🙏🏻;Variasi: SILVER,256 GB;5;g*****1;2024-10-11;None
Kondisi Barang: manteppppppWarna: sesuai dengan pesananPermukaan: keren bgtttttt pokoknya;Variasi: PURPLE,64GB;5;maulaashfa;2024-10-04;None
Peking aman,.Barang mulus sesuai keinginan;Variasi: PINK,128GB SIM STIKER;5;nafurudin;2024-10-04;None
Mulusss alhamdulillah;Variasi: PURPLE,64GB;5;zakiyah.azizah;2024-10-04;None
Kondisi Barang: bismillah semoga awet terus;Variasi: GREEN,64GB;5;hikmahiik14;2024-10-04;None
None;Variasi: PURPLE,64GB;4;f*****2;2024-10-04;None
None;Variasi: BLUE,128GB;5;s*****g;2024-10-03;None
Kondisi Barang: mewahWarna: sangat bagusKinerja: sesuaiTerima kasih untuk hp nya sangat memuaskan pengiriman sangat cepat , semoga bisa tahan di pake bekerja;Variasi: GREEN,64GB;5;alifakbaar;2024-10-03;None
None;Variasi: BLACK,128GB;5;adhexsumber;2024-10-03;None
None;Variasi: GREEN,64GB;5;muhammad250599;2024-10-03;None
None;Variasi: PURPLE,128GB;5;ichafy;2024-10-03;None
Kondisi Barang: bagus dan mulus siWarna: sesuaiKinerja: awalnya gak ada sinyalAwalnya gada sinyal udh dicoba berbagai kartu, ternyata cma bisa pake smartfreen padahal diketerangan all sim 🥹 itu kado buat adik pdahal hiks;Variasi: WHITE,128GB;3;radeya310;2024-10-02;None
Kondisi Barang: berfungsi normalWarna: purplePermukaan: mulusBagus hampir 95 % , semoga imei nya awet;Variasi: PURPLE,128GB;5;imammaulana890;2024-10-02;None
None;Variasi: BLACK,128GB;5;ratu_mila;2024-10-02;None
None;Variasi: BLUE,128GB SIM STIKER;5;cinoket;2024-10-02;None
Kondisi Barang: barang kondisi MuluWarna: warna sesuaiKinerja: kamera nya agak Ng blur dikit TPI dak ngaruh emang khusus untuk game;Variasi: GREEN,128GB;5;hermanhermanherman918;2024-10-02;None
None;Variasi: WHITE,128GB;5;ud.aldi944;2024-10-01;None
None;Variasi: PURPLE,128GB;5;alfatienfarhansyah;2024-10-01;None
None;Variasi: BLACK,128GB;5;idensvarga108;2024-10-01;None
None;Variasi: GREEN,256 GB;5;harmani70;2024-10-01;None
None;Variasi: SILVER,512GB;5;kaumera1234;2024-10-01;None
Kondisi Barang: mulussWarna: bagusKinerja: normal;Variasi: PURPLE,64GB;4;jm_group_ponsel;2024-10-01;None
None;Variasi: PURPLE,128GB;5;syariff_17;2024-10-01;None
None;Variasi: PURPLE,64GB;5;windylarasaskiasamosir210698;2024-09-30;None
None;Variasi: GRAY,256GB;5;vildadiningrum;2024-09-30;None
